outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_1,outdoor_relative_humidity_predicted_2,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_1,diffuse_solar_irradiance_predicted_2,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_3
23.0,38.0,0.0,0.0,22.0,22.0,23.0,41.0,43.0,41.0,0.0,44.0,80.0,0.0,121.0,294.0
22.0,41.0,0.0,0.0,22.0,23.0,24.0,43.0,41.0,40.0,44.0,80.0,97.0,121.0,294.0,472.0
22.0,43.0,44.0,121.0,23.0,24.0,25.0,41.0,40.0,36.0,80.0,97.0,114.0,294.0,472.0,589.0
23.0,41.0,80.0,294.0,24.0,25.0,26.0,40.0,36.0,32.0,97.0,114.0,134.0,472.0,589.0,631.0
24.0,40.0,97.0,472.0,25.0,26.0,26.8,36.0,32.0,30.0,114.0,134.0,135.0,589.0,631.0,623.0
25.0,36.0,114.0,589.0,26.0,26.8,28.0,32.0,30.0,40.0,134.0,135.0,138.0,631.0,623.0,538.0
26.0,32.0,134.0,631.0,26.8,28.0,27.0,30.0,40.0,32.0,135.0,138.0,124.0,623.0,538.0,399.0
26.8,30.0,135.0,623.0,28.0,27.0,26.2,40.0,32.0,37.0,138.0,124.0,81.0,538.0,399.0,231.0
28.0,40.0,138.0,538.0,27.0,26.2,25.0,32.0,37.0,44.0,124.0,81.0,38.0,399.0,231.0,81.0
27.0,32.0,124.0,399.0,26.2,25.0,24.0,37.0,44.0,54.0,81.0,38.0,7.0,231.0,81.0,11.0
26.2,37.0,81.0,231.0,25.0,24.0,24.0,44.0,54.0,61.0,38.0,7.0,0.0,81.0,11.0,0.0
25.0,44.0,38.0,81.0,24.0,24.0,24.0,54.0,61.0,69.0,7.0,0.0,0.0,11.0,0.0,0.0
24.0,54.0,7.0,11.0,24.0,24.0,23.0,61.0,69.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,61.0,0.0,0.0,24.0,23.0,23.0,69.0,78.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,69.0,0.0,0.0,23.0,23.0,22.0,78.0,79.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,78.0,0.0,0.0,23.0,22.0,21.0,79.0,69.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,79.0,0.0,0.0,22.0,21.0,21.0,69.0,73.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,69.0,0.0,0.0,21.0,21.0,21.0,73.0,72.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
